corsid,site_name,site_code,state_name
50240A001,KHALWA, KHAL,Madhya Pradesh
50007A001,ALIRAJPUR, ALIR,Madhya Pradesh
50009A001,AMANGANI, AMAN,Madhya Pradesh
50250A001,KIRNAPUR, KIRN,Madhya Pradesh
50036A001,BADOD, BADO,Madhya Pradesh
50229A001,KARENA, KARE,Madhya Pradesh
50960A001,WANI,WANI,Madhya Pradesh
50223A001,KAITHAL, KAIT,Madhya Pradesh
50222A001,KAILARAS, KAIL,Madhya Pradesh
50221A001,JAISINGHNAGAR, JSNG,Madhya Pradesh
50210A001,JHABUA, JHAB,Madhya Pradesh
50208A001,JEERAPUR, JEER,Madhya Pradesh
50232A001,KATANGI, KATA,Madhya Pradesh
50234A001,KATINNAGAR, KATI,Madhya Pradesh
50506A001,VIDISHA, VIDI,Madhya Pradesh
50503A001,UNCHERA, UNCH,Madhya Pradesh
50463A001,SHAHPUR, SHPR,Madhya Pradesh
50465A001,SIHAWAL, SIHA,Madhya Pradesh
50467A001,SILWANI, SILW,Madhya Pradesh
50469A001,SINGOLI, SING,Madhya Pradesh
50470A001,SIRALI, SIRA,Madhya Pradesh
50289A001,MANASA, MANA,Madhya Pradesh
50478A001,SINGRAULINAGAR, SRNG,Madhya Pradesh
50479A001,SIRONJ, SRNJ,Madhya Pradesh
50480A001,SULTANPURMP, STMP,Madhya Pradesh
50484A001,SULTANPUR, SULT,Madhya Pradesh
50492A001,TEOTHAR, TEOT,Madhya Pradesh
50274A001,LAKHADON, LKDN,Madhya Pradesh
50265A001,KUSMI, KUSM,Madhya Pradesh
50003A001,AJAYGARH, AJAU,Madhya Pradesh
50501A001,UJJAIN, UJJA,Madhya Pradesh
50256A001,KOTAR, KOTA,Madhya Pradesh
50202A001,JAMAIJUNARDEV, JAMA,Madhya Pradesh
50195A001,JABERA, JABE,Madhya Pradesh
50194A001,JABALPUR, JABA,Madhya Pradesh
50029A001,ASHTA, ASHT,Madhya Pradesh
50076A001,BIJAWAR, BIJA,Madhya Pradesh
50073A001,BICHUA, BICH,Madhya Pradesh
50068A001,BHINDNAGAR, BHIN,Madhya Pradesh
50067A001,BHIMPUR, BHIM,Madhya Pradesh
50064A001,BHAGWANPURA, BHAG,Madhya Pradesh
50033A001,BABAI, BABA,Madhya Pradesh
50060A001,BEERPUR, BEER,Madhya Pradesh
50059A001,BADWAHA, BDWH,Madhya Pradesh
50054A001,BARHI, BARH,Madhya Pradesh
50051A001,BANKHEDI, BANK,Madhya Pradesh
50035A001,BADAGAON, BADA,Madhya Pradesh
50048A001,BAMORI, BAMO,Madhya Pradesh
50042A001,BAJAG, BAJA,Madhya Pradesh
50040A001,BAIHAR, BAIH,Madhya Pradesh
50089A001,BANDAMP, BNMP,Madhya Pradesh
50094A001,BURHANPURNAGAR, BURH,Madhya Pradesh
50102A001,CHANCHODA, CHCH,Madhya Pradesh
50027A001,ARON, ARON,Madhya Pradesh
50193A001,INDORE, INDO,Madhya Pradesh
50192A001,INDEGARH, INDE,Madhya Pradesh
50189A001,HUZURBHOPAL, HUZU,Madhya Pradesh
50185A001,HATPIPIYA, HATP,Madhya Pradesh
50184A001,HARRAI, HARR,Madhya Pradesh
50454A001,SEONINAGAR, SEON,Madhya Pradesh
50175A001,GWALIOR, GWAL,Madhya Pradesh
50037A001,BADUADA, BADU,Madhya Pradesh
50170A001,GULANA, GULA,Madhya Pradesh
50632A001,DHAN,DHAN,Madhya Pradesh
50159A001,GHUGHRI, GHUG,Madhya Pradesh
50153A001,GAROTH, GARO,Madhya Pradesh
50132A001,DHEMARKEDA, DHEM,Madhya Pradesh
50129A001,DEORI, DEOR,Madhya Pradesh
50120A001,DALOD, DALO,Madhya Pradesh
50022A001,ANUPPUR, ANPR,Madhya Pradesh
50168A001,GOTEGAON, GOTE,Madhya Pradesh
50305A001,MOHANGARH, MHGR,Madhya Pradesh
50361A001,NASRULLAGANJ, NSRG,Madhya Pradesh
50427A001,RAMPURNAIKAN, RMNK,Madhya Pradesh
50324A001,MUNGAOLI, MUNG,Madhya Pradesh
50378A001,PATERA, PATE,Madhya Pradesh
50398A001,PORSA, PORS,Madhya Pradesh
50399A001,PRABHATPATTAN, PRAB,Madhya Pradesh
50416A001,RATLAM, RATL,Madhya Pradesh
50451A001,SATWAS, SATW,Madhya Pradesh
50401A001,RAHATGARH, RAHA,Madhya Pradesh
50358A001,NOWROZABAD, NOWR,Madhya Pradesh
50339A001,NARSINGHGARH, NARS,Madhya Pradesh
50412A001,RANNOD, RANN,Madhya Pradesh
50316A001,MANAWAR, MNWR,Madhya Pradesh
50349A001,NIWALI, NIWA,Madhya Pradesh
50367A001,NIWAS, NWAS,Madhya Pradesh
50318A001,MOHANA, MOHN,Madhya Pradesh
50331A001,NAGDA, NAGD,Madhya Pradesh
50333A001,NAINPUR, NAIN,Madhya Pradesh
50395A001,POHARI, POHA,Madhya Pradesh
50374A001,PANDHANA, PAND,Madhya Pradesh
50323A001,MAHESHWAR, MSWR,Madhya Pradesh
50816A001,AKBARPUR,AKBA,Uttar Pradesh
